question,answer,contexts,ground_truth,f1,bert_f1
What is hypothyroidism?,"Hypothyroidism is a disorder in which the thyroid gland produces too little thyroid hormone, causing a decrease in the rate of metabolism. This leads to associated effects on the reproductive system and various other symptoms.","['Hypothyroidism—A disorder in which the thyroid\ngland produces too little thyroid hormone causing\na decrease in the rate of metabolism with associat-\ned effects on the reproductive system.\nLupus erythematosus —A chronic inflammatory\ndisease in which inappropriate immune system\nreactions cause abnormalities in the blood vessels\nand connective tissue.\nProgesterone —A hormone naturally secreted by\nthe ovary, or manufactured synthetically, that\nprepares the uterus for implantation of a fertil-', 'Chapter 7 Endocrine Disorders 179\n7\nAdult Hypothyroidism and Myxedema\n■ Essentials of Diagnosis\n• Fatigue, cold intolerance, constipation, muscle cramps, weight\ngain, depression, altered mentation, menstrual irregularity \n• Hypothermia, bradycardia, dry skin with yellow tone (carotenemia);\nnonpitting edema, macroglossia, delayed relaxation of deep tendon\nreﬂexes\n• Low serum free thyroxine (FT4); thyroid-stimulating hormone (TSH)\nelevated in primary hypothyroidism; anemia, hypercholesterolemia']","Hypothyroidism is condition of reduced thyroid hormone production, leading to slowed metabolism, fatigue, weight gain, cold intolerance, and depression.",0.22222222222222224,0.9066745042800903
What is infection?,"Infection refers to the invasion of a body part, typically the skin or tissues under the skin, by a bacterium or other microbes.","['of the cells.” Specifically, cellulitis refers to an infection\nof the tissue just below the skin surface. In humans, the\nskin and the tissues under the skin are the most common\nlocations for microbial infection. Skin is the first defense\nagainst invading bacteria and other microbes. An infec-\ntion can occur when this normally strong barrier is dam-\naged due to surgery, injury, or a burn. Even something as\nsmall as a scratch or an insect bite allows bacteria to enter', 'disease that attacks the immune system.\nAntibiotics —A category of manufactured sub-\nstances used to combat infection.\nAntibodies —Special substances created by the\nbody to combat infection.\nBacterium—A tiny organism. Some bacteria cause\ndisease.\nHepatitis—A disease that inflames the liver.\nImmune system—A body system that combats dis-\nease.\nImmunocompromised—Having a damaged immune\nsystem.\nLymph nodes—Small, kidney-shaped organs that\nfilter a fluid called lymph.']","Infection occurs when microorganisms like bacteria, viruses, or fungi invade body tissues, multiply, and cause disease by damaging cells or triggering immune responses.",0.17391304347826086,0.9005576372146606
What is immunity?,"The body system responsible for producing various cells and chemicals that fight infection by viruses, bacteria, fungi, and other foreign invaders is the immune system.","['digestive system, running from the stomach,\nthrough the small intestine, large intestine, and out\nthe rectum and anus.\nImmune system—The body system responsible for\nproducing various cells and chemicals that fight\ninfection by viruses, bacteria, fungi, and other for-\neign invaders. In autoimmune disease, these cells\nand chemicals turn against the body itself.\nInflammation —The result of the body’s attempts\nto fight off and wall off an area that is infected.', 'the cell of an organism. The cyst enables many\norganisms to survive in the environment for long\nperiods of time without need for food or water.\nImmunocompromised —A change or alteration of\nthe immune system that normally serves to fight\noff infections other illnesses. This can involve\nchanges in antibodies that the body produces\n(hygogammaglobulinemia), or a defect in the cells\nthat partake in the immune response. Diseases\nsuch as AIDS and cancer exhibit changes in the\nbody’s natural immunity.']","Immunity is the body’s ability to resist infections through defense mechanisms including physical barriers, immune cells, and antibodies that recognize and eliminate pathogens.",0.20833333333333331,0.8971170783042908
What is vaccination?,Vaccination is the use of a vaccine to build immunity against infection from a microorganism.,"['(CNS), blood system, and musculoskeletal system.\nVaccine—A prepartation containing killed or\nweakened microorganisms used to build immuni-\nty against infection from that microorganism.\nVirus—A very small organism that can only live\nwithin a cell. They are unable to reproduce out-\nside that cell.\nVaccines are available against some viruses, includ-\ning polio, herpes B, Japanese encephalitis, and equine\nencephalitis. Rabies vaccine is available for animals; it is', 'community.\nReference\nMetzger W, Mordmueller BG. Vaccines for preventing smallpox. Cochrane\nDatabase Syst Rev 2007:CD004913. [PMID: 17636779]']","Vaccination is the process of administering weakened or inactive pathogens to stimulate immune response, providing protection against specific infectious diseases.",0.34285714285714286,0.9108037948608398
What is antibiotic?,A chemical substance produced by a microorganism which can inhibit the growth of or kill other microorganisms.,"['for transmission by this route is still present.\nKEY TERMS\nAntibiotic—A chemical substance produced by a\nmicroorganism which can inhibit the growth of or\nkill other microorganisms.\nDebridement— Surgical removal of damaged tis-\nsue and foreign objects from a wound.\nI&D—Incision and drainage of a wound.\nIrrigation—Cleansing a wound with large amounts\nof water and/or an antiseptic solution.\nParenteral—Administered inside the body but out-\nside the digestive tract.', 'usually given intravenously.\nAntibiotics\nAntibiotics are given to wipe out the bacteria, to\nprevent the spread of the disease, and to protect the\npatient from developing pneumonia. They are not a sub-\nstitute for treatment with antitoxin. Both adults and chil-\ndren may be given penicillin, ampicillin, or ery-\nthromycin. Erythromycin appears to be more effective\nthan penicillin in treating people who are carriers\nbecause of better penetration into the infected area.']","Antibiotics are drugs used to treat bacterial infections by killing bacteria or inhibiting their growth, but they are ineffective against viral infections.",0.10256410256410256,0.8795675039291382
What is virus?,"A virus is a tiny infectious agent that enters human cells and forces them to make more virus, ultimately killing the cell and releasing thousands of new viruses.","['ing with scab formation. However, infected persons need\nnot have visible blisters to spread the infection to others\nsince the virus may be present in the saliva without obvi-\nous oral lesions.\nViruses are different from bacteria. While bacteria\nare independent and can reproduce on their own, viruses\nenter human cells and force them to make more virus. The\ninfected human cell is usually killed and releases thou-\nsands of new viruses. The cell death and resulting tissue', 'system, heart, skin, and others that causes disease.\nEnteroviruses are part of a larger group of viruses known as\nPicornaviruses. The word comes from the combination of\n“pico” (Spanish, meaning “a little bit”), and RNA (ribonu-\ncleic acid, an important component of genetic material).\nDescription\nThere are four groups of enteroviruses: Coxsack-\nievirus, Echovirus, ungrouped Enterovirus, and Y\nPoliovirus. \nGALE ENCYCLOPEDIA OF MEDICINE 2 1211\nEnterovirus infections']","Virus is a microscopic infectious agent that requires host cells to replicate, causing diseases by invading cells and disrupting their normal functions.",0.36000000000000004,0.9065653681755066
What is dehydration?,Dehydration occurs when the body loses more fluid than it takes in.,"['ing\nGALE ENCYCLOPEDIA OF MEDICINE 2\n1018\nDehydration', 'Dehydration occurs when the body loses more fluid\nthan it takes in. This condition can result from illness; a\nhot, dry climate; prolonged exposure to sun or high tem-\nperatures; not drinking enough water; and overuse of\ndiuretics or other medications that increase urination.\nDehydration can upset the delicate fluid-salt balance\nneeded to maintain healthy cells and tissues.\nWater accounts for about 60% of a man’s body\nweight. It represents about 50% of a woman’s weight.']","Dehydration is a condition resulting from excessive loss of body fluids, leading to imbalance in electrolytes and impaired physiological functions.",0.125,0.9116677641868591
What is electrolyte?,"Electrolytes are positively and negatively charged molecules, called ions, that are found within cells, between cells, in the bloodstream, and in other fluids throughout the body.","['Electrolyte tests\nDefinition\nElectrolytes are positively and negatively charged\nmolecules, called ions, that are found within cells,\nbetween cells, in the bloodstream, and in other fluids\nthroughout the body. Electrolytes with a positive charge\ninclude sodium, potassium, calcium, and magnesium; the\nnegative ions are chloride, bicarbonate, and phosphate.\nThe concentrations of these ions in the bloodstream\nremain fairly constant throughout the day in a healthy', 'sium, phosphate, potassium, and sodium) in the blood.\nDescription\nElectrolytes are ionized molecules found throughout\nthe blood, tissues, and cells of the body. These mole-\ncules, which are either positive (cations) or negative\n(anions), conduct an electric current and help to balance\npH and acid-base levels in the body. Electrolytes also\nfacilitate the passage of fluid between and within cells\nthrough a process known as osmosis and play a part in']","Electrolytes are charged minerals like sodium and potassium that regulate nerve function, muscle contraction, hydration, and acid-base balance in body.",0.3043478260869565,0.8838386535644531
What is edema?,Edema is a condition of abnormally large fluid volume in the circulatory system or in tissues between the body's cells.,"['PERIODICALS\nMaiolatesi, C. R. “Methotrexate for Nonsurgical Treatment of\nEctopic Pregnancy: Nursing Implications.”Journal of\nObstetrical Gynecological Neonatal Nursing (Mar./Apr.\n1996): 205-208.\nORGANIZATIONS\nResolve. 1310 Broadway, Somerville, MA 02144-1731. (617)\n623-0744. <http://www.resolve.org>.\nKaren Ericson, RN\nEczema see Dermatitis\nED see Impotence\nEdema\nDefinition\nEdema is a condition of abnormally large fluid vol-\nume in the circulatory system or in tissues between the', 'Alternative treatment\nDietary changes, in addition to cutting back the\namount of sodium eaten, may also help reduce edema.\nFoods that worsen edema, such as alcohol, caffeine,\nsugar, dairy products, soy sauce, animal protein, choco-\nlate, olives, and pickles, should be avoided. Diuretic herbs\ncan also help relieve edema. One of the best herbs for this\npurpose is dandelion (Taraxacum mongolicum), since, in\naddition to its diuretic action, it is a rich source of potassi-']","Edema is swelling caused by accumulation of excess fluid in tissues, commonly seen in conditions like heart failure, kidney disease, or inflammation.",0.28571428571428564,0.8922379612922668
What is acidosis?,"Acidosis is a decrease in the pH of the bloodstream, below the normal range of 7.35-7.45.","['acidosis, hypokalemia, metabolic acidosis, respiratory alkalosis;\nin adults: hyperventilation, confusion, tremor, paranoia, memory\ndeﬁcits\n■ Differential Diagnosis\n• Any cause of anion gap metabolic acidosis\n• Sepsis; carbon monoxide poisoning\n■ Treatment\n• Elevated serum salicylate level; treatment should always consider\nboth serum level and clinical condition\n• Gastrointestinal lavage or whole-bowel irrigation for early, large,\nor sustained-release ingestions; activated charcoal', 'tissues of the body. A fourth classification concerns those\nelectrolytes that influence the acidity or alkalinity of the\nbloodstream, also known as the pH. The pH of the blood-\nstream is normally in the range of 7.35–7.45. A decrease\nbelow this range is called acidosis, while a pH above this\nrange is called alkalosis. The electrolytes most closely\nassociated with the pH of the bloodstream are bicarbon-\nate, chloride, and phosphate.\nPreparation\nAll electrolyte tests can be performed on plasma or']","Acidosis is a condition where blood pH falls below normal due to excess acid or loss of bicarbonate, affecting enzyme activity and organ function.",0.35000000000000003,0.8930161595344543
What is alkalosis?,"Alkalosis is a condition where the acid content of the bloodstream declines, resulting in an alkalization of the bloodstream.","['alkalosis, and respiratory alkalosis.\nReference\nPearlman BL, Gambhir R. Salicylate intoxication: a clinical review. Postgrad Med\n2009;121:162. [PMID: 19641282]', 'ride leads to the opposite situation: a decline in the acid\ncontent of the bloodstream. This is known as alkalization\nof the bloodstream, or alkalosis. Hydrochloric acid, origi-\nnally from extracellular fluids, can be lost by vomiting. At\nits most severe, alkalosis results in paralysis (tetany).\nHyperphosphatemia occurs at serum phosphate levels\nabove 5 mg/dL. It can result from the failure of the kidneys\nto excrete phosphate into the urine, causing phosphate to']","Alkalosis is a condition where blood pH rises above normal due to loss of acid or excess bicarbonate, affecting normal cellular processes.",0.3414634146341463,0.9136962294578552
What is diagnosis?,Diagnosis begins with a physical examination and asking questions about the patient's health and daily activities.,"['Diagnosis\nDiagnosis begins with a physical examination and\nasking the patient questions about his or her health and\ndaily activities. When contact dermatitis is suspected, the\ndoctor attempts to learn as much as possible about the\npatient’s hobbies, workplace duties, use of medications\nand cosmetics, etc.—anything that might shed light on\nthe source of the disease. In some cases, an examination\nof the home or workplace is undertaken. If the dermatitis', 'Diagnosis\nDiagnosis of factitious disorders is usually based on\nthe exclusion of bona fide medical or psychiatric condi-\ntions, together with a combination of the signs listed ear-\nlier. In some cases, the diagnosis is made on the basis of\nrecords from other hospitals.\nTreatment\nTreatment of factitious disorders is usually limited\nto prompt recognition of the condition and the refusal to\ngive unnecessary medications or to perform unneeded\nprocedures. Factitious disorder patients do not usually']","Diagnosis is the process of identifying a disease by evaluating symptoms, medical history, physical examination, and laboratory or imaging investigations.",0.2777777777777778,0.8948689103126526
What is prognosis?,"Prognosis depends on the source of the problem. If the source is a pituitary adenoma, about 80% of patients are cured by surgery. However, if the source is another form of cancer, prognosis depends on the type and spread of the cancer.","['Prognosis depends on the source of the problem.\nWhen pituitary adenomas are identified as the source of\nincreased ACTH leading to cortisol excess, about 80% of\npatients are cured by surgery. When cortisol excess is\ndue to some other form of cancer, the prognosis depends\non the type of cancer and the extent of its spread.\nResources\nBOOKS\nBrickner, Colleen. Inside Out: An Autobiography.Spokane,\nW A: A.H. Clark Co., 1992.\nDeGroot, Leslie J., ed., et al. “Cushing’s syndrome.” In', 'therapy) and diagnostic procedures (i.e., biopsy).\nPreparation\nPatients are typically informed that their diagnosis is\nterminal and treatments are directed to improve quality\nof life for the remaining time and to minimize emotional\nsuffering associated with pain.\nGALE ENCYCLOPEDIA OF MEDICINE 2\n641\nCancer therapy, palliative']","Prognosis refers to the expected outcome or course of a disease, including chances of recovery, complications, and survival based on clinical evaluation.",0.18749999999999997,0.8556488156318665
What is treatment?,"Treatment typically involves therapy, which includes approaches such as psychotherapy, cognitive therapy, and behavioral therapy, as well as counseling and sometimes surgery.","['therapy, respiratory therapy, medical devices (e.g., hear-\ning aids, glasses, braces), and in some cases, surgery.\nCounseling is typically a front-line treatment for\npsychological disorders. Therapy approaches include\npsychotherapy, cognitive therapy, behavioral therapy,\nfamily counseling, and group therapy. Therapy or coun-\nseling may be administered by social workers, nurses,\nlicensed counselors and therapists, psychologists, or psy-\nGALE ENCYCLOPEDIA OF MEDICINE 2\n764\nChildren’s health', 'through a problem or situation as it occurs.\nPreparation\nPatients may seek therapy independently, or be\nreferred for treatment by a primary physician, psycholo-\ngist, or psychiatrist. Because the patient and therapist\nwork closely together to achieve specific therapeutic\nobjectives, it is important that their working relationship\nis comfortable and their goals are compatible. Prior to\nbeginning treatment, the patient and therapist should\nmeet for a consultation session, or mutual interview. The']","Treatment is the management of disease through medications, surgery, lifestyle changes, or therapies aimed at curing, controlling, or relieving symptoms.",0.04761904761904762,0.8693069815635681
What is pathology?,"Pathology is the examination of samples, such as those removed for biopsy, by a pathologist to determine the type and extent of a disease.","['Diagnosis\nDiagnosis begins with a physical examination and\nasking the patient questions about his or her health and\ndaily activities. When contact dermatitis is suspected, the\ndoctor attempts to learn as much as possible about the\npatient’s hobbies, workplace duties, use of medications\nand cosmetics, etc.—anything that might shed light on\nthe source of the disease. In some cases, an examination\nof the home or workplace is undertaken. If the dermatitis', 'x rays, ultrasounds, computed tomography scans (CT\nscans), MRI imaging and other techniques that are used to\ndiagnose cancer. Hematologists specialize in disorders of\nthe blood and are consulted in case of blood cancers and\nbone marrow cancers. The samples that are removed for\nbiopsy are sent to a laboratory, where a pathologist exam-\nines them to determine the type of cancer and extent of\nthe disease. Only some of the specialists who are involved']","Pathology is the study of diseases, including their causes, development, structural changes, and effects on body tissues and organs.",0.23255813953488372,0.885798454284668
What is inflammation?,"Inflammation is a local, protective response to tissue injury, characterized by redness, warmth, swelling, and pain.","['Inflammation—A local reaction to tissue injury or\ndamage, usually characterized by pain, swelling,\nand redness.\nSore—A wound, lesion, or ulcer on the skin.\nUlcer—A site of damage to the skin or mucous\nmembrane that is characterized by the formation\nof pus, death of tissue, and is frequently accompa-\nnied by an inflammatory reaction.\nDiagnosis\nCanker sores are diagnosed by observation of the\nblister. A distinction between canker sores and cold sores', 'damaged cartilage in joints, repair spinal cord injuries,\nstrengthen a weakened immune system, treat autoim-\nmune diseases such as AIDS, and help patients with neu-\nKEY TERMS\nInflammation—A local, protective response to tis-\nsue injury. It is characterized by redness, warmth,\nswelling, and pain.\nNecrotizing fasciitis —A destructive infection\nwhich follows severe cellulitis and involves the\ndeep skin and underlying tissues.\nSinuses —Air cavities found in the bones of the']","Inflammation is a protective response of body to injury or infection, characterized by redness, swelling, heat, pain, and loss of function.",0.5945945945945946,0.9546597599983215
What is metabolism?,Metabolism is the sum of all the physical and chemical processes occurring in the body to organize and maintain life.,"['substances from the body.\nMetabolism —The sum of all the physical and\nchemical processes occurring in the body to orga-\nnize and maintain life.\nMetabolites—Substances produced by metabolism\nor by a metabolic process.\nMilk-alkali syndrome—Elevated blood calcium lev-\nels and alkalosis caused by excessive intake of milk\nand alkalis. Usually occurs in the treatment of pep-\ntic ulcer.\neffects associated with herbal supplements. Individuals who\nexperience serious side effects from dietary supplements', 'thin membrane covering the brain and spinal cord.\nMetabolism—The chemical process by which the\nbody turns food into energy, which can be given\noff as heat.\nPyrogen—A chemical circulating in the blood that\ncauses a rise in body temperature.\nReye’s syndrome—A disorder principally affecting\nthe liver and brain, marked by the rapid develop-\nment of life-threatening neurological symptoms.\nmay be ordered if the doctor cannot readily determine the\ncause of a fever.\nTreatment']","Metabolism includes all chemical reactions in body that maintain life, including processes of breaking down nutrients and producing energy for cellular activities.",0.4285714285714286,0.9159893989562988
What is homeostasis?,"Homeostasis refers to the family system's tendency to maintain its customary organization and functioning over time, resisting change.","['Homeostasis (balance)\nThe concept of homeostasis means that the family\nsystem seeks to maintain its customary organization and\nfunctioning over time. It tends to resist change. The fami-\nly therapist can use the concept of homeostasis to explain\nwhy a certain family symptom has surfaced at a given\ntime, why a specific member has become the IP, and what\nis likely to happen when the family begins to change.\nThe extended family field\nThe extended family field refers to the nuclear fami-', 'whole. Problems are treated by changing the way the sys-\ntem works rather than trying to “fix” a specific member.\nFamily systems theory is based on several major concepts:\nThe identified patient\nThe identified patient (IP) is the family member with\nthe symptom that has brought the family into treatment.\nThe concept of the IP is used by family therapists to keep\nthe family from scapegoating the IP or using him or her\nas a way of avoiding problems in the rest of the system.\nHomeostasis (balance)']","Homeostasis is the ability of body to maintain stable internal environment despite external changes, regulating temperature, pH, fluids, and other vital parameters.",0.25,0.8930551409721375
What is oxygen saturation?,Oxygen saturation is the percentage of hemoglobin in red blood cells that is bound to oxygen.,"['transfusion or hyperbaric oxygen\n■ Pearl\nAn in vitro phenomenon unrelated to cardiopulmonary disease; oxygen\nsaturation is ﬁxed at 85%.\nReference\ndo Nascimento TS, Pereira RO, de Mello HL, Costa J. Methemoglobinemia: from\ndiagnosis to treatment. Rev Bras Anestesiol 2008;58:657. [PMID: 19082413]', 'higher risk of inhaling CO.\nCauses and symptoms\nNormally when a person breathes fresh air into the\nlungs, the oxygen in the air binds with a molecule called\nhemoglobin (Hb) that is found in red blood cells. This\nallows oxygen to be moved from the lungs to every part\nof the body. When the oxygen/hemoglobin complex\nreaches a muscle where it is needed, the oxygen is\nreleased. Because the oxygen binding process is\nreversible, hemoglobin can be used over and over again']","Oxygen saturation is the percentage of hemoglobin carrying oxygen in blood, normally between 95% and 100%, indicating adequate oxygenation of tissues.",0.4324324324324324,0.9204091429710388
What is pulse?,"Unfortunately, the provided context does not mention ""pulse."" However, based on general knowledge, a pulse is the rhythmic expansion and contraction of an artery, caused by the heartbeat, which can be felt by pressing on the skin over the artery.","['Electrocardiography is a commonly used, non-inva-\nsive procedure for recording electrical changes in the\nheart. The record, which is called an electrocardiogram\n(ECG or EKG), shows the series of waves that relate to\nthe electrical impulses which occur during each beat of\nthe heart. The results are printed on paper or displayed\non a monitor. The waves in a normal record are named P,\nQ, R, S, and T and follow in alphabetical order. The num-\nber of waves may vary, and other waves may be present.', 'pacing) and to receive electrical signals from the heart—\nbut not at the same time (just as a walkie-talkie cannot\nsend and receive messages at the same time).\nFirst, the electrodes are positioned to receive signals\nfrom inside the heart chambers. This allows the doctor to\nmeasure how fast the electrical impulses travel currently\nin the patient’s heart. These measurements are called the\npatient’s baseline measurements. Next, the electrodes are']","Pulse is rhythmic expansion of arteries due to heartbeats, used clinically to assess heart rate, rhythm, and strength of blood circulation.",0.1967213114754098,0.8810219168663025
What is organ failure?,"Organ failure is mentioned in the context as a potential consequence of a severe medical condition, where multiple organs fail, quickly followed by death.","['becomes numb. An individual may go into shock and\ndevelop dangerously low blood pressure. Multiple organ\nfailure may occur, quickly followed by death.\nDiagnosis\nThe appearance of the skin, paired with pain and\nfever raises the possibility of flesh-eating disease. An x\nray, magnetic resonance imaging (MRI), or computed\ntomography scans (CT scans) of the area reveals a\nfeathery pattern in the tissue, caused by accumulating\ngas in the dying tissue. Necrosis is evident during', 'Causes and symptoms\nAs of 2001, the two leading causes of death for both\nmen and women in the United States were heart disease\nand cancer. Accidental death was a distant third fol-\nlowed by such problems as stroke, chronic lung disor-\nders, pneumonia, suicide, cirrhosis, diabetes mellitus ,\nand murder. The order of these causes of death varies\namong persons of different age, ethnicity, and gender.\nDiagnosis\nIn an age of organ transplantation, identifying the']","Organ failure occurs when an organ loses its ability to function properly, often due to disease, injury, or insufficient blood supply.",0.08888888888888889,0.8802754282951355
What is infection control?,"Infection control involves good hygiene, rigorous skin and mouth care, and avoiding crowds or people with active infections to prevent recurrent infections.","['efit from genetic counseling . Preventive (prophylactic)\nantibiotics may help keep some infections from occur-\nring, and good hygiene, especially rigorous skin and\nmouth care, can help prevent infections in these areas.\nAvoiding crowds or other people who have infections are\nalso effective preventive measures.\nResources\nBOOKS\nAbbas, Abul K., Andrew H. Lichtman, and Jordan S. Pober.\nCellular and Molecular Immunology. 3rd ed. Philadel-\nphia. W. B. Saunders Co., 1997.', 'Prevention\nThe disease itself cannot be prevented, but patients and\ntheir families can take precautions to prevent the recurrent\ninfections commonly associated with it. For example, good\nhygiene and nutritionare important, as is avoiding crowds\nor other people who have active infections.\nResources\nBOOKS\nAbbas, Abul K., Andrew H. Lichtman, and Jordan S. Pober.\nCellular and Molecular Immunology. 3rd ed. Philadel-\nphia: W. B. Saunders Co., 1997.']","Infection control involves measures like hygiene, sterilization, and isolation to prevent spread of infections in healthcare and community settings.",0.3902439024390244,0.909600555896759
What is public health?,"The provided context does not directly answer the question about public health. However, it mentions ""The United States Centers for Disease Control"" which is a government agency that deals with public health.","['Alternatives in Childbirth. Rte. 1, Box 646, Marble Hill,\nMO 63764. (314) 238-2010.\nInternational Childbirth Education Association. P.O. Box\n20048, Minneapolis, MN 55420. (612) 854-8660.\nPostpartum Support International. 927 North Kellogg Ave.,\nSanta Barbara, CA 93111. (805) 967-7636.\nCarol A. Turkington\nChildhood disintegrative disorder see\nPervasive developmental disorders\nChildren’s health\nDefinition\nChildren’s health encompasses the physical, mental,', 'in many illnesses. Environmental medicine is a field that\nstudies exactly how those environmental factors influence\ndisease. Conditions such as asthma, cancer, chronic\nfatigue syndrome, multiple chemical sensitivity , and\nmany others are strongly influenced by exposure to toxic\nor allergenic substances in the environment. The United\nStates Centers for Disease Control estimate that over 80%\nof all illnesses have environmental and lifestyle causes.']","Public health focuses on prevention of disease, promotion of health, and prolonging life through organized community efforts, policies, education, and healthcare services.",0.037037037037037035,0.8451787829399109
What is Cardiac Tamponade?,"Cardiac tamponade occurs when the heart is squeezed by fluid that collects inside the sac that surrounds it. The sac, called the pericardium, becomes filled with fluid, which presses on the heart, preventing proper filling of the lower chambers.","['PERIODICALS\nHarvard Medical School. “Cardiac Rehabilitation.”Harvard\nHealth Letter, 7 no. 5 (Jan. 1997): 3-7.\nORGANIZATIONS\nAmerican Heart Association. 7320 Greenville Ave. Dallas, TX\n75231. (214) 373-6300. <http://www.americanheart.org>.\nPaula Anne Ford-Martin\nCardiac tamponade\nDefinition\nCardiac tamponade occurs when the heart is\nsqueezed by fluid that collects inside the sac that sur-\nrounds it.\nDescription\nThe heart is surrounded by a sac called the pericardi-', 'um. When this sac becomes filled with fluid, the liquid\npresses on the heart, preventing the lower chambers of\nthe heart from properly filling with blood.\nGALE ENCYCLOPEDIA OF MEDICINE 2660\nCardiac tamponade']",Life-threatening disorder occurring when pericardial fluid accumulates under pressure; effusions rapidly increasing in size may cause an elevated intrapericardial pressure.,0.06779661016949151,0.8693318367004395
What defines Cor Pulmonale?,"Cor pulmonale is an increase in bulk of the right ventricle of the heart. It is generally caused by chronic diseases or malfunction of the lungs, which can lead to heart failure.","['Cor pulmonale is an increase in bulk of the right\nventricle of the heart, generally caused by chronic dis-\neases or malfunction of the lungs. This condition can\nlead to heart failure.\nDescription\nCor pulmonale, or pulmonary heart disease, occurs in\n25% of patients with chronic obstructive pulmonary dis-\nGALE ENCYCLOPEDIA OF MEDICINE 2916\nCor pulmonale', 'McGraw-Hill, 1997.\nSchreiber, Alan D. “Autoimmune Hemolytic Anemia.” In Cecil\nTextbook of Medicine, ed. J. Claude Bennett and Fred\nPlum. Philadelphia: W. B. Saunders Co., 1996.\nTeresa Norris, RN\nCoordination tests see Balance and\ncoordination tests\nCOPD see Emphysema; Chronic\nobstructive lung disease\nCopper deficiency see Mineral deficiency\nCopper excess see Wilson’s disease\nCor pulmonale\nDefinition\nCor pulmonale is an increase in bulk of the right']","Heart failure resulting from pulmonary disease. Most commonly due to COPD; other causes include pulmonary fibrosis, pneumoconioses, recurrent pulmonary emboli...",0.07692307692307693,0.842412531375885
What is Celiac Disease?,Celiac disease is a disease of the digestive system that damages the small intestine and interferes with the absorption of nutrients from food.,"['72 Current Essentials of Medicine\n3\nCeliac Sprue\n■ Essentials of Diagnosis\n• Caused by an immune reaction to gluten in diet in genetically\nsusceptible individuals\n• The prevalence of celiac disease in the United States is approxi-\nmately 1:100 (1%)\n• Main manifestations are of malabsorption: Bulky, pale, frothy,\ngreasy stools (steatorrhea); abdominal distention, ﬂatulence, weight\nloss, and evidence of fat-soluble vitamin deﬁciencies; labs may', 'CEA test see Carcinoembryonic antigen test\nCEB see Chronic fatigue syndrome\nCefaclor see Cephalosporins\nCefadroxil see Cephalosporins\nCefixime see Cephalosporins\nCefprozil see Cephalosporins\nCefurox see Cephalosporins\nCeliac disease\nDefinition\nCeliac disease is a disease of the digestive system\nthat damages the small intestine and interferes with the\nabsorption of nutrients from food.\nDescription\nCeliac disease occurs when the body reacts abnor-']",Celiac disease is a disease of the digestive system that damages the small intestine and interferes with the absorption of nutrients from food. It occurs when the body reacts abnormally to gluten.,0.6909090909090908,0.9745737910270691
What are the symptoms of Tetanus?,"The symptoms of Tetanus include jaw stiffness followed by spasms (trismus), stiffness of the neck or other muscles, dysphagia, irritability, hyperreflexia, and late, painful convulsions precipitated by minimal stimuli.","['Chapter 8 Infectious Diseases 237\n8\nTetanus (Clostridium tetani)\n■ Essentials of Diagnosis\n• History of nondebrided wound or contamination may or may not\nbe obtained\n• Jaw stiffness followed by spasms (trismus)\n• Stiffness of neck or other muscles, dysphagia, irritability, hyper-\nreﬂexia; late, painful convulsions precipitated by minimal stim-\nuli; fever is low-grade\n■ Differential Diagnosis\n• Infectious meningitis\n• Rabies\n• Strychnine poisoning\n• Malignant neuroleptic syndrome\n• Hypocalcemia', 'carditis, a number of symptoms may be present. The\nmost common symptom is a mild fever, which rarely\ngoes above 102°F (38.9°C). Other symptoms include\nchills, weakness, cough, trouble breathing, headaches,\naching joints, and loss of appetite.\nEmboli may also cause a variety of symptoms,\ndepending on their location. Emboli throughout the\nbody may cause Osler’s nodes, small, reddish, painful\nbumps most commonly found on the inside of fingers\nand toes. Emboli may also cause petechiae, tiny purple']","Jaw stiffness followed by spasms (trismus). Stiffness of neck or other muscles, dysphagia, irritability, hyperreflexia; late, painful convulsions precipitated by minimal stimuli.",0.7058823529411765,0.9558377861976624
What is Dilated Cardiomyopathy?,"Dilated cardiomyopathy is a condition where the walls of the heart chambers stretch, enlarging the heart ventricles to hold a greater volume of blood than normal.","['Reference\nLuk A, Ahn E, Soor GS, Butany J. Dilated cardiomyopathy: a review. J Clin Pathol\n2009;62:219. [PMID: 19017683]', 'cardiomyopathy; cardiomyopathy in which the\nwalls of the heart chambers stretch, enlarging the\nheart ventricles so they can hold a greater volume\nof blood than normal.\nCoxsackievirus B —A type of virus in the group\nEnterovirus that causes an infection similar to polio,\nbut without paralysis.\nDigitalis —A drug that helps the heart muscle to\nhave stronger pumping action.\nDilated cardiomyopathy —Also called congestive\ncardiomyopathy; cardiomyopathy in which the']","A cause of systolic dysfunction, this represents a group of disorders that lead to congestive heart failure. Symptoms and signs of congestive heart failure: Exertional dyspnea, cough, fatigue, paroxysmal nocturnal dyspnea...",0.14035087719298245,0.8326008915901184
